node10.prof:	total time = 1.44 secs 	txIsUnique = 503	nodeLogic.mint' = 50
node1.prof:	total time = 1.37 secs 	txIsUnique = 503	nodeLogic.mint' = 50
node2.prof:	total time = 1.35 secs 	txIsUnique = 504	nodeLogic.mint' = 50
node3.prof:	total time = 1.34 secs 	txIsUnique = 505	nodeLogic.mint' = 50
node4.prof:	total time = 1.32 secs 	txIsUnique = 506	nodeLogic.mint' = 50
node5.prof:	total time = 1.37 secs 	txIsUnique = 505	nodeLogic.mint' = 50
node6.prof:	total time = 1.39 secs 	txIsUnique = 504	nodeLogic.mint' = 50
node7.prof:	total time = 1.41 secs 	txIsUnique = 500	nodeLogic.mint' = 50
node8.prof:	total time = 1.34 secs 	txIsUnique = 505	nodeLogic.mint' = 50
node9.prof:	total time = 1.39 secs 	txIsUnique = 505	nodeLogic.mint' = 50
Time = 13.72, TXs = 5040, Blocks = 50  => Throughput = 367.34, Blocktime = .27
