File, Function, Calls, TimeInh, MemInh
node10.prof, processTXs', 1036, 22.8, 20.3
node10.prof, validateTransaction, 1010, 13.8, 18.1
node10.prof, txIsUnique, 504, 5.9, 0.0
node10.prof, mint', 25, 1.5, 2.1
node1.prof, processTXs', 1036, 17.0, 19.3
node1.prof, validateTransaction, 1010, 12.3, 16.3
node1.prof, txIsUnique, 503, 2.7, 0.0
node1.prof, mint', 25, 1.7, 3.0
node2.prof, processTXs', 1036, 19.3, 18.0
node2.prof, validateTransaction, 1010, 14.9, 17.2
node2.prof, txIsUnique, 506, 3.1, 0.0
node2.prof, mint', 25, 0.6, 0.7
node3.prof, processTXs', 1036, 22.0, 22.1
node3.prof, validateTransaction, 1010, 16.5, 19.8
node3.prof, txIsUnique, 507, 4.0, 0.0
node3.prof, mint', 25, 1.0, 2.3
node4.prof, processTXs', 1036, 22.3, 20.1
node4.prof, validateTransaction, 1010, 16.4, 18.6
node4.prof, txIsUnique, 507, 4.0, 0.0
node4.prof, mint', 25, 1.3, 1.5
node5.prof, processTXs', 1036, 23.6, 20.2
node5.prof, validateTransaction, 1010, 15.7, 18.0
node5.prof, txIsUnique, 506, 5.9, 0.0
node5.prof, mint', 25, 1.3, 2.1
node6.prof, processTXs', 1036, 23.5, 22.6
node6.prof, validateTransaction, 1010, 16.7, 20.2
node6.prof, txIsUnique, 506, 4.5, 0.0
node6.prof, mint', 25, 1.4, 2.4
node7.prof, processTXs', 1036, 25.2, 22.0
node7.prof, validateTransaction, 1010, 17.8, 19.0
node7.prof, txIsUnique, 505, 5.1, 0.0
node7.prof, mint', 25, 1.6, 3.0
node8.prof, processTXs', 1034, 22.1, 17.9
node8.prof, validateTransaction, 1010, 15.9, 17.2
node8.prof, txIsUnique, 480, 4.8, 0.0
node8.prof, mint', 23, 0.9, 0.7
node9.prof, processTXs', 1033, 19.0, 17.7
node9.prof, validateTransaction, 1010, 14.3, 17.6
node9.prof, txIsUnique, 455, 4.0, 0.0
node9.prof, mint', 22, 0.2, 0.0
