File, Function, Module, Number, Calls, TimeInd, MemInd, TimeInh, MemInh
node10.prof, processTXs', OrdinaryNode,  12832, 74, 0.0, 0.0, 3.2, 3.6
node10.prof, txIsUnique, Block,  14353, 62, 0.1, 0.0, 0.2, 0.0
node10.prof, validateTransaction, Transaction,  13734, 62, 0.0, 0.0, 1.5, 2.1
node10.prof, mint', OrdinaryNode,  14367, 12, 0.0, 0.0, 1.4, 1.5
node1.prof, processTXs', OrdinaryNode,  12833, 74, 0.0, 0.0, 2.3, 2.5
node1.prof, txIsUnique, Block,  14356, 62, 0.0, 0.0, 0.0, 0.0
node1.prof, validateTransaction, Transaction,  13784, 62, 0.0, 0.0, 1.7, 1.8
node1.prof, mint', OrdinaryNode,  14371, 12, 0.0, 0.0, 0.6, 0.7
node2.prof, processTXs', OrdinaryNode,  12832, 74, 0.0, 0.0, 2.2, 2.0
node2.prof, txIsUnique, Block,  14352, 62, 0.0, 0.0, 0.1, 0.0
node2.prof, validateTransaction, Transaction,  13784, 62, 0.0, 0.0, 1.6, 1.8
node2.prof, mint', OrdinaryNode,  14371, 12, 0.0, 0.0, 0.4, 0.2
node3.prof, processTXs', OrdinaryNode,  12833, 74, 0.1, 0.0, 1.9, 1.8
node3.prof, txIsUnique, Block,  14353, 62, 0.0, 0.0, 0.2, 0.0
node3.prof, validateTransaction, Transaction,  13784, 62, 0.0, 0.0, 1.5, 1.8
node3.prof, mint', OrdinaryNode,  14371, 12, 0.0, 0.0, 0.1, 0.0
node4.prof, processTXs', OrdinaryNode,  12832, 74, 0.0, 0.0, 2.4, 2.6
node4.prof, txIsUnique, Block,  14357, 62, 0.0, 0.0, 0.1, 0.0
node4.prof, validateTransaction, Transaction,  13788, 62, 0.0, 0.0, 1.6, 1.9
node4.prof, mint', OrdinaryNode,  14371, 12, 0.0, 0.0, 0.7, 0.7
node5.prof, processTXs', OrdinaryNode,  12833, 74, 0.0, 0.0, 1.7, 2.2
node5.prof, txIsUnique, Block,  14353, 62, 0.0, 0.0, 0.1, 0.0
node5.prof, validateTransaction, Transaction,  13784, 62, 0.0, 0.0, 1.2, 2.0
node5.prof, mint', OrdinaryNode,  14367, 12, 0.0, 0.0, 0.4, 0.2
node6.prof, processTXs', OrdinaryNode,  12833, 74, 0.0, 0.0, 2.1, 2.4
node6.prof, txIsUnique, Block,  14353, 62, 0.1, 0.0, 0.3, 0.0
node6.prof, validateTransaction, Transaction,  13784, 62, 0.0, 0.0, 1.2, 2.0
node6.prof, mint', OrdinaryNode,  14371, 12, 0.0, 0.0, 0.5, 0.4
node7.prof, processTXs', OrdinaryNode,  12833, 6, 0.0, 0.0, 0.2, 0.2
node7.prof, txIsUnique, Block,  14357, 5, 0.0, 0.0, 0.0, 0.0
node7.prof, validateTransaction, Transaction,  13788, 5, 0.0, 0.0, 0.2, 0.2
node7.prof, mint', OrdinaryNode,  14371, 1, 0.0, 0.0, 0.0, 0.0
node8.prof, processTXs', OrdinaryNode,  12832, 6, 0.0, 0.0, 0.2, 0.2
node8.prof, txIsUnique, Block,  14353, 5, 0.0, 0.0, 0.0, 0.0
node8.prof, validateTransaction, Transaction,  13784, 5, 0.0, 0.0, 0.2, 0.2
node8.prof, mint', OrdinaryNode,  14367, 1, 0.0, 0.0, 0.0, 0.0
node9.prof, processTXs', OrdinaryNode,  12832, 74, 0.0, 0.0, 1.7, 2.0
node9.prof, txIsUnique, Block,  14303, 62, 0.0, 0.0, 0.1, 0.0
node9.prof, validateTransaction, Transaction,  13734, 62, 0.0, 0.0, 1.4, 1.9
node9.prof, mint', OrdinaryNode,  14317, 12, 0.0, 0.0, 0.2, 0.0
