File, Function, Calls, TimeInh, MemInh
node1.prof, processTXs', 267, 10.1, 12.7
node1.prof, validateTransaction, 255, 7.4, 8.7
node1.prof, txIsUnique, 228, 0.8, 0.0
node1.prof, mint', 11, 1.8, 3.9
node2.prof, processTXs', 267, 11.8, 10.9
node2.prof, validateTransaction, 255, 9.9, 10.8
node2.prof, txIsUnique, 223, 1.4, 0.0
node2.prof, mint', 11, 0.1, 0.0
node3.prof, processTXs', 267, 9.2, 8.8
node3.prof, validateTransaction, 255, 6.7, 7.6
node3.prof, txIsUnique, 227, 1.5, 0.0
node3.prof, mint', 11, 0.7, 1.2
node4.prof, processTXs', 267, 11.6, 12.3
node4.prof, validateTransaction, 255, 7.9, 9.4
node4.prof, txIsUnique, 228, 2.0, 0.0
node4.prof, mint', 11, 1.4, 2.9
node5.prof, processTXs', 267, 11.6, 14.7
node5.prof, validateTransaction, 255, 6.5, 8.5
node5.prof, txIsUnique, 229, 1.5, 0.0
node5.prof, mint', 11, 3.0, 6.2
