File, Function, Calls, TimeInh, MemInh
node1.prof, processTXs', 278, 10.4, 10.3
node1.prof, validateTransaction, 255, 7.7, 7.4
node1.prof, txIsUnique, 229, 1.0, 0.0
node1.prof, mint', 22, 1.6, 2.9
node2.prof, processTXs', 279, 11.6, 11.1
node2.prof, validateTransaction, 255, 7.3, 7.2
node2.prof, txIsUnique, 230, 1.8, 0.0
node2.prof, mint', 23, 2.1, 3.9
node3.prof, processTXs', 278, 12.9, 11.6
node3.prof, validateTransaction, 255, 9.8, 9.4
node3.prof, txIsUnique, 227, 1.5, 0.0
node3.prof, mint', 22, 1.2, 2.2
node4.prof, processTXs', 278, 14.9, 12.8
node4.prof, validateTransaction, 255, 11.2, 10.3
node4.prof, txIsUnique, 228, 2.0, 0.0
node4.prof, mint', 22, 1.5, 2.5
node5.prof, processTXs', 278, 12.2, 13.2
node5.prof, validateTransaction, 255, 7.5, 9.6
node5.prof, txIsUnique, 229, 2.5, 0.0
node5.prof, mint', 22, 2.0, 3.6
