File, Function, Calls, TimeInh, MemInh
node10.prof, processTXs', 1061, 20.7, 19.3
node10.prof, validateTransaction, 1010, 14.5, 18.1
node10.prof, txIsUnique, 502, 4.3, 0.0
node10.prof, mint', 50, 1.2, 1.2
node1.prof, processTXs', 1061, 19.3, 20.5
node1.prof, validateTransaction, 1010, 15.1, 19.3
node1.prof, txIsUnique, 501, 2.6, 0.0
node1.prof, mint', 50, 1.0, 1.2
node2.prof, processTXs', 1061, 19.6, 19.0
node2.prof, validateTransaction, 1010, 15.0, 17.1
node2.prof, txIsUnique, 503, 2.7, 0.0
node2.prof, mint', 50, 1.4, 1.8
node3.prof, processTXs', 1061, 20.1, 18.9
node3.prof, validateTransaction, 1010, 15.4, 17.7
node3.prof, txIsUnique, 503, 2.9, 0.0
node3.prof, mint', 50, 1.1, 1.1
node4.prof, processTXs', 1061, 23.6, 20.7
node4.prof, validateTransaction, 1010, 17.2, 19.6
node4.prof, txIsUnique, 505, 4.7, 0.0
node4.prof, mint', 50, 0.8, 1.1
node5.prof, processTXs', 1061, 25.3, 20.6
node5.prof, validateTransaction, 1010, 17.2, 18.3
node5.prof, txIsUnique, 503, 5.3, 0.0
node5.prof, mint', 50, 1.7, 2.3
node6.prof, processTXs', 1061, 23.7, 21.9
node6.prof, validateTransaction, 1010, 16.9, 20.1
node6.prof, txIsUnique, 502, 4.7, 0.0
node6.prof, mint', 50, 0.9, 1.7
node7.prof, processTXs', 1061, 21.6, 20.2
node7.prof, validateTransaction, 1010, 14.4, 17.1
node7.prof, txIsUnique, 503, 4.3, 0.0
node7.prof, mint', 50, 2.2, 3.1
node8.prof, processTXs', 1061, 23.6, 23.0
node8.prof, validateTransaction, 1010, 15.6, 20.1
node8.prof, txIsUnique, 504, 5.1, 0.0
node8.prof, mint', 50, 1.8, 2.9
node9.prof, processTXs', 1061, 21.8, 21.8
node9.prof, validateTransaction, 1010, 14.3, 19.0
node9.prof, txIsUnique, 503, 5.2, 0.0
node9.prof, mint', 50, 1.7, 2.7
