File, Function, Module, Number, Calls, TimeInd, MemInd, TimeInh, MemInh
node10.prof, processTXs', OrdinaryNode,  12829, 21, 0.0, 0.0, 0.4, 0.6
node10.prof, txIsUnique, Block,  14353, 18, 0.0, 0.0, 0.0, 0.0
node10.prof, validateTransaction, Transaction,  13734, 18, 0.0, 0.0, 0.4, 0.6
node10.prof, mint', OrdinaryNode,  14367, 3, 0.0, 0.0, 0.0, 0.0
node1.prof, processTXs', OrdinaryNode,  12833, 6, 0.0, 0.0, 0.2, 0.1
node1.prof, txIsUnique, Block,  14356, 5, 0.0, 0.0, 0.0, 0.0
node1.prof, validateTransaction, Transaction,  13788, 5, 0.0, 0.0, 0.2, 0.1
node1.prof, mint', OrdinaryNode,  14371, 1, 0.0, 0.0, 0.0, 0.0
node2.prof, processTXs', OrdinaryNode,  12833, 6, 0.0, 0.0, 0.0, 0.2
node2.prof, txIsUnique, Block,  14356, 5, 0.0, 0.0, 0.0, 0.0
node2.prof, validateTransaction, Transaction,  13788, 5, 0.0, 0.0, 0.0, 0.2
node2.prof, mint', OrdinaryNode,  14371, 1, 0.0, 0.0, 0.0, 0.0
node3.prof, processTXs', OrdinaryNode,  12835, 12, 0.0, 0.0, 0.6, 0.5
node3.prof, txIsUnique, Block,  14352, 10, 0.0, 0.0, 0.0, 0.0
node3.prof, validateTransaction, Transaction,  13784, 10, 0.0, 0.0, 0.3, 0.3
node3.prof, mint', OrdinaryNode,  14371, 2, 0.0, 0.0, 0.3, 0.2
node4.prof, processTXs', OrdinaryNode,  12832, 6, 0.0, 0.0, 0.1, 0.1
node4.prof, txIsUnique, Block,  14356, 5, 0.0, 0.0, 0.0, 0.0
node4.prof, validateTransaction, Transaction,  13784, 5, 0.0, 0.0, 0.1, 0.1
node4.prof, mint', OrdinaryNode,  14371, 1, 0.0, 0.0, 0.1, 0.0
node5.prof, processTXs', OrdinaryNode,  12833, 20, 0.0, 0.0, 0.7, 0.7
node5.prof, txIsUnique, Block,  14357, 17, 0.0, 0.0, 0.0, 0.0
node5.prof, validateTransaction, Transaction,  13784, 17, 0.0, 0.0, 0.3, 0.5
node5.prof, mint', OrdinaryNode,  14371, 3, 0.0, 0.0, 0.4, 0.2
node6.prof, processTXs', OrdinaryNode,  12832, 20, 0.0, 0.0, 0.4, 0.6
node6.prof, txIsUnique, Block,  14303, 17, 0.0, 0.0, 0.0, 0.0
node6.prof, validateTransaction, Transaction,  13734, 17, 0.0, 0.0, 0.4, 0.6
node6.prof, mint', OrdinaryNode,  14338, 3, 0.0, 0.0, 0.0, 0.0
node7.prof, processTXs', OrdinaryNode,  12833, 20, 0.0, 0.0, 0.3, 0.5
node7.prof, txIsUnique, Block,  14353, 17, 0.0, 0.0, 0.0, 0.0
node7.prof, validateTransaction, Transaction,  13784, 17, 0.0, 0.0, 0.3, 0.5
node7.prof, mint', OrdinaryNode,  14371, 3, 0.0, 0.0, 0.0, 0.0
node8.prof, processTXs', OrdinaryNode,  12832, 6, 0.0, 0.0, 0.1, 0.2
node8.prof, txIsUnique, Block,  14353, 5, 0.0, 0.0, 0.0, 0.0
node8.prof, validateTransaction, Transaction,  13784, 5, 0.0, 0.0, 0.1, 0.2
node8.prof, mint', OrdinaryNode,  14371, 1, 0.0, 0.0, 0.0, 0.0
node9.prof, processTXs', OrdinaryNode,  12833, 22, 0.0, 0.0, 0.3, 0.5
node9.prof, txIsUnique, Block,  14353, 19, 0.1, 0.0, 0.1, 0.0
node9.prof, validateTransaction, Transaction,  13784, 19, 0.0, 0.0, 0.2, 0.5
node9.prof, mint', OrdinaryNode,  14367, 3, 0.0, 0.0, 0.0, 0.0
