File, Function, Calls, TimeInh, MemInh
node10.prof, processTXs', 21, 0.4, 0.6
node10.prof, txIsUnique, 18, 0.0, 0.0
node10.prof, validateTransaction, 18, 0.4, 0.6
node10.prof, mint', 3, 0.0, 0.0
node1.prof, processTXs', 6, 0.2, 0.1
node1.prof, txIsUnique, 5, 0.0, 0.0
node1.prof, validateTransaction, 5, 0.2, 0.1
node1.prof, mint', 1, 0.0, 0.0
node2.prof, processTXs', 6, 0.0, 0.2
node2.prof, txIsUnique, 5, 0.0, 0.0
node2.prof, validateTransaction, 5, 0.0, 0.2
node2.prof, mint', 1, 0.0, 0.0
node3.prof, processTXs', 12, 0.6, 0.5
node3.prof, txIsUnique, 10, 0.0, 0.0
node3.prof, validateTransaction, 10, 0.3, 0.3
node3.prof, mint', 2, 0.3, 0.2
node4.prof, processTXs', 6, 0.1, 0.1
node4.prof, txIsUnique, 5, 0.0, 0.0
node4.prof, validateTransaction, 5, 0.1, 0.1
node4.prof, mint', 1, 0.1, 0.0
node5.prof, processTXs', 20, 0.7, 0.7
node5.prof, txIsUnique, 17, 0.0, 0.0
node5.prof, validateTransaction, 17, 0.3, 0.5
node5.prof, mint', 3, 0.4, 0.2
node6.prof, processTXs', 20, 0.4, 0.6
node6.prof, txIsUnique, 17, 0.0, 0.0
node6.prof, validateTransaction, 17, 0.4, 0.6
node6.prof, mint', 3, 0.0, 0.0
node7.prof, processTXs', 20, 0.3, 0.5
node7.prof, txIsUnique, 17, 0.0, 0.0
node7.prof, validateTransaction, 17, 0.3, 0.5
node7.prof, mint', 3, 0.0, 0.0
node8.prof, processTXs', 6, 0.1, 0.2
node8.prof, txIsUnique, 5, 0.0, 0.0
node8.prof, validateTransaction, 5, 0.1, 0.2
node8.prof, mint', 1, 0.0, 0.0
node9.prof, processTXs', 22, 0.3, 0.5
node9.prof, txIsUnique, 19, 0.1, 0.0
node9.prof, validateTransaction, 19, 0.2, 0.5
node9.prof, mint', 3, 0.0, 0.0
