Node,Function,Module,Source,Number,Entries,TimeInd,MemInd,TimeInh,MemInh
node1.prof:,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(235-11-(249-62,13334,267,0.2,0.0,8.5,13.7
node1.prof:,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,14306,255,0.0,0.0,6.3,9.4
node1.prof:,txIsUnique,Block,src/Block.hs:135:1-52,14866,229,0.2,0.0,0.7,0.0
node1.prof:,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(258-7-(283-37,15801,11,0.0,0.0,1.2,4.3
node2.prof:,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(235-11-(249-62,13334,267,0.1,0.0,7.3,13.6
node2.prof:,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,14256,255,0.0,0.0,5.3,8.5
node2.prof:,txIsUnique,Block,src/Block.hs:135:1-52,14824,229,0.2,0.0,0.5,0.0
node2.prof:,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(258-7-(283-37,15801,11,0.0,0.0,1.3,5.0
node3.prof:,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(235-11-(249-62,13334,267,0.6,0.0,6.6,10.5
node3.prof:,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,14300,255,0.0,0.0,5.1,10.4
node3.prof:,txIsUnique,Block,src/Block.hs:135:1-52,14858,223,0.1,0.0,0.5,0.0
node3.prof:,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(258-7-(283-37,15801,11,0.1,0.0,0.2,0.0
node4.prof:,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(235-11-(249-62,13323,267,0.1,0.0,7.0,11.7
node4.prof:,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,14307,255,0.0,0.0,5.4,8.0
node4.prof:,txIsUnique,Block,src/Block.hs:135:1-52,14874,227,0.1,0.0,0.4,0.0
node4.prof:,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(258-7-(283-37,15808,11,0.0,0.0,0.9,3.6
node5.prof:,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(235-11-(249-62,13323,267,0.2,0.0,7.8,11.6
node5.prof:,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,14250,255,0.0,0.0,6.2,10.0
node5.prof:,txIsUnique,Block,src/Block.hs:135:1-52,14808,229,0.0,0.0,1.0,0.0
node5.prof:,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(258-7-(283-37,15793,11,0.0,0.0,0.3,1.5
