File, Function, Calls, TimeInh, MemInh
node10.prof, processTXs', 1089, 22.6, 21.5
node10.prof, validateTransaction, 988, 14.4, 18.8
node10.prof, mint', 100, 2.2, 2.6
node1.prof, processTXs', 1089, 18.8, 20.3
node1.prof, validateTransaction, 988, 13.7, 17.7
node1.prof, mint', 100, 2.1, 2.5
node2.prof, processTXs', 1088, 16.7, 20.6
node2.prof, validateTransaction, 987, 11.9, 18.4
node2.prof, mint', 101, 1.6, 2.2
node3.prof, processTXs', 1086, 18.7, 19.9
node3.prof, validateTransaction, 985, 12.5, 17.4
node3.prof, mint', 101, 2.1, 2.5
node4.prof, processTXs', 1089, 18.9, 19.7
node4.prof, validateTransaction, 988, 13.8, 18.5
node4.prof, mint', 100, 1.2, 1.2
node5.prof, processTXs', 1087, 24.6, 21.4
node5.prof, validateTransaction, 988, 16.4, 19.8
node5.prof, mint', 98, 1.6, 1.5
node6.prof, processTXs', 1089, 23.0, 22.4
node6.prof, validateTransaction, 988, 15.0, 19.7
node6.prof, mint', 100, 1.9, 2.6
node7.prof, processTXs', 1089, 24.7, 21.6
node7.prof, validateTransaction, 988, 15.6, 18.3
node7.prof, mint', 100, 3.2, 3.2
node8.prof, processTXs', 1089, 19.2, 18.8
node8.prof, validateTransaction, 988, 12.6, 17.3
node8.prof, mint', 100, 1.6, 1.5
node9.prof, processTXs', 1089, 21.3, 19.9
node9.prof, validateTransaction, 988, 12.8, 17.9
node9.prof, mint', 101, 2.2, 1.9
