File, Function, Calls, TimeInh, MemInh
node1.prof, processTXs', 301, 10.0, 12.6
node1.prof, validateTransaction, 255, 6.9, 9.8
node1.prof, mint', 45, 2.0, 2.8
node2.prof, processTXs', 301, 10.0, 12.3
node2.prof, validateTransaction, 255, 5.5, 7.7
node2.prof, mint', 45, 2.4, 4.6
node3.prof, processTXs', 301, 10.4, 12.8
node3.prof, validateTransaction, 255, 7.0, 9.0
node3.prof, mint', 45, 2.0, 3.8
node4.prof, processTXs', 301, 11.7, 12.8
node4.prof, validateTransaction, 255, 8.7, 9.8
node4.prof, mint', 45, 1.5, 3.0
node5.prof, processTXs', 301, 12.8, 12.8
node5.prof, validateTransaction, 255, 8.2, 9.8
node5.prof, mint', 45, 2.4, 3.0
