File, Function, Calls, TimeInh, MemInh
node10.prof, processTXs', 1036, 18.8, 19.8
node10.prof, validateTransaction, 1010, 13.6, 18.4
node10.prof, mint', 25, 0.9, 1.4
node1.prof, processTXs', 1033, 14.6, 15.4
node1.prof, validateTransaction, 1010, 12.9, 15.3
node1.prof, mint', 22, 0.2, 0.0
node2.prof, processTXs', 1036, 20.8, 21.5
node2.prof, validateTransaction, 1010, 17.1, 20.6
node2.prof, mint', 25, 0.6, 0.8
node3.prof, processTXs', 1036, 20.4, 22.6
node3.prof, validateTransaction, 1010, 15.8, 20.2
node3.prof, mint', 25, 1.2, 2.4
node4.prof, processTXs', 1036, 20.3, 21.7
node4.prof, validateTransaction, 1010, 15.3, 19.5
node4.prof, mint', 25, 1.2, 2.1
node5.prof, processTXs', 1036, 21.6, 20.9
node5.prof, validateTransaction, 1010, 16.5, 19.4
node5.prof, mint', 25, 0.8, 1.5
node6.prof, processTXs', 1036, 22.0, 22.0
node6.prof, validateTransaction, 1010, 16.6, 20.4
node6.prof, mint', 25, 0.7, 1.6
node7.prof, processTXs', 1036, 22.8, 23.5
node7.prof, validateTransaction, 1010, 16.1, 19.7
node7.prof, mint', 25, 2.3, 3.8
node8.prof, processTXs', 1036, 20.5, 19.1
node8.prof, validateTransaction, 1010, 14.1, 17.0
node8.prof, mint', 25, 1.5, 2.0
node9.prof, processTXs', 1036, 23.3, 20.7
node9.prof, validateTransaction, 1010, 16.1, 17.9
node9.prof, mint', 25, 1.9, 2.8
